Number_of_Datasets,Number_of_Countries,Number_of_Organizations,Number_of_Users,Number_of_Tags,Number_of_Licenses,Date_and_Time
1017,243,9,31,377,6,2014-05-23
1017,243,10,32,377,6,2014-05-24
1020,243,10,32,377,6,2014-05-25
1020,243,10,32,377,6,2014-05-26
1020,243,10,33,377,6,2014-05-27
1019,243,12,36,377,6,2014-05-28
1016,243,12,37,377,6,2014-05-29
1016,243,12,37,377,6,2014-05-30
1017,243,12,37,381,6,2014-05-31
1017,243,14,40,381,6,2014-06-01
1017,243,15,46,381,6,2014-06-02
1190,243,15,46,383,6,2014-06-03
1190,243,16,47,383,7,2014-06-04
1191,243,18,50,384,7,2014-06-05
1191,243,18,50,384,7,2014-06-05
1191,243,18,50,384,7,2014-06-06
1193,243,18,51,385,7,2014-06-07
1193,243,18,51,385,7,2014-06-08
1193,243,18,52,385,7,2014-06-09
1193,243,18,53,385,7,2014-06-10
1194,243,18,54,387,7,2014-06-11
1195,243,18,49,389,6,2014-06-12
1193,243,18,49,389,6,2014-06-13
1190,243,18,49,389,6,2014-06-14
1190,243,18,49,389,6,2014-06-15
1190,243,18,49,389,6,2014-06-16
1191,243,18,50,389,6,2014-06-17
1191,243,18,51,386,6,2014-06-18
1191,243,18,51,386,6,2014-06-19
1192,243,19,52,390,6,2014-06-20
1192,243,19,53,390,6,2014-06-21
1192,243,19,53,390,6,2014-06-22
1192,243,19,53,390,6,2014-06-23
1192,243,19,53,390,6,2014-06-24
1192,243,20,53,390,6,2014-06-25
1194,243,21,54,394,6,2014-06-26
1197,243,21,57,397,6,2014-06-27
1200,243,21,57,398,6,2014-06-28
1197,243,21,57,398,6,2014-06-29
1197,243,21,57,398,6,2014-06-30
1197,243,21,57,398,6,2014-07-01
1197,243,21,57,398,6,2014-07-02
1197,243,21,57,398,6,2014-07-03
1201,243,21,58,398,6,2014-07-04
1201,243,21,58,398,6,2014-07-05
1201,243,21,58,398,6,2014-07-06
1201,243,21,58,398,6,2014-07-07
1192,243,22,61,408,6,2014-07-08
1192,243,20,61,407,6,2014-07-09
1189,243,20,62,407,6,2014-07-10
1175,243,20,63,407,6,2014-07-11
1174,243,16,64,415,6,2014-07-12
1174,243,16,64,415,6,2014-07-13
1174,243,16,64,415,6,2014-07-14
1309,243,21,65,420,6,2014-07-15
1325,243,22,79,422,6,2014-07-15
1325,243,22,90,422,6,2014-07-16
1325,243,22,92,422,6,2014-07-16
1325,243,25,108,422,6,2014-07-16
1326,243,26,122,426,6,2014-07-17
1326,243,28,150,427,6,2014-07-18
1326,243,28,156,427,6,2014-07-19
1326,243,28,164,427,6,2014-07-20
1326,243,29,170,427,6,2014-07-21
1326,243,29,182,427,6,2014-07-22
1326,243,29,188,427,6,2014-07-23
1326,243,30,195,427,6,2014-07-24
1326,243,30,195,427,6,2014-07-25
1326,243,30,196,427,6,2014-07-26
1326,243,30,197,427,6,2014-07-27
1326,243,30,197,427,6,2014-07-28
1326,243,32,204,427,6,2014-07-29
1326,243,32,207,427,6,2014-07-30
1326,243,32,212,427,6,2014-07-31
1326,243,32,214,427,6,2014-08-01
1326,243,32,216,427,6,2014-08-02
1326,243,32,217,427,6,2014-08-03
1326,243,32,219,427,6,2014-08-04
1327,243,34,219,434,6,2014-08-05
1327,243,34,223,434,6,2014-08-06
1327,243,35,229,434,6,2014-08-07
1328,243,35,234,445,6,2014-08-08
1328,243,35,234,445,6,2014-08-09
1328,243,35,234,445,6,2014-08-10
1328,243,35,235,445,6,2014-08-11
1328,243,35,236,445,6,2014-08-12
1329,243,36,238,449,6,2014-08-13
1329,243,36,244,449,6,2014-08-14
1330,243,37,248,451,6,2014-08-15
