"tweets","followers","favorites","following","date","date_week"
188,952,28,257,"2014-07-18","2014-W28"
NA,410,NA,8,"2014-04-16","2014-W15"
NA,431,NA,9,"2014-04-25","2014-W16"
NA,574,NA,123,"2014-06-06","2014-W22"
NA,591,NA,203,"2014-06-20","2014-W24"
NA,609,NA,211,"2014-06-30","2014-W26"
NA,521,NA,218,"2014-05-23","2014-W20"
NA,549,NA,232,"2014-05-30","2014-W21"
NA,410,NA,8,"2014-05-05","2014-W18"
189,1115,28,255,"2014-07-21","2014-W29"
197,1183,35,262,"2014-07-28","2014-W30"
210,1242,36,268,"2014-08-05","2014-W31"
243,1339,42,270,"2014-09-02","2014-W35"
268,1364,47,267,"2014-09-15","2014-W37"
297,1435,56,290,"2014-09-29","2014-W39"
338,1488,70,322,"2014-10-13","2014-W41"
397,1793,90,360,"2014-10-29","2014-W43"
443,1873,119,377,"2014-11-11","2014-W45"
472,2009,168,382,"2014-11-25","2014-W47"
490,2032,177,390,"2014-12-02","2014-W48"
589,2173,240,433,"2015-01-11","2015-W01"
603,2198,245,441,"2015-01-18","2015-W02"
628,2231,258,448,"2015-01-25","2015-W03"
638,2254,266,453,"2015-02-01","2015-W04"
646,2270,273,455,"2015-02-05","2015-W05"
