tweets,followers,favorites,following,date
581.0,2166.0,239.0,429.0,2015-01-07
188.0,952.0,28.0,257.0,2014-07-18
,410.0,,8.0,2014-04-16
,431.0,,9.0,2014-04-25
,574.0,,123.0,2014-06-06
,580.0,,138.0,2014-06-16
,591.0,,203.0,2014-06-20
,609.0,,211.0,2014-06-30
,521.0,,218.0,2014-05-23
,549.0,,232.0,2014-05-30
,410.0,,8.0,2014-05-05
189.0,1115.0,28.0,255.0,2014-07-21
197.0,1183.0,35.0,262.0,2014-07-28
210.0,1242.0,36.0,268.0,2014-08-05
243.0,1339.0,42.0,270.0,2014-09-02
268.0,1364.0,47.0,267.0,2014-09-15
297.0,1435.0,56.0,290.0,2014-09-29
338.0,1488.0,70.0,322.0,2014-10-13
397.0,1793.0,90.0,360.0,2014-10-29
443.0,1873.0,119.0,377.0,2014-11-11
472.0,2009.0,168.0,382.0,2014-11-25
490.0,2032.0,177.0,390.0,2014-12-02
584.0,2169.0,240.0,431.0,2015-01-08
584.0,2169.0,240.0,431.0,2015-01-09
589.0,2170.0,240.0,431.0,2015-01-10
589.0,2173.0,240.0,433.0,2015-01-11
590.0,2179.0,240.0,434.0,2015-01-12
591.0,2184.0,240.0,435.0,2015-01-13
594.0,2186.0,241.0,435.0,2015-01-14
598.0,2194.0,242.0,438.0,2015-01-15
600.0,2193.0,243.0,439.0,2015-01-16
603.0,2197.0,244.0,440.0,2015-01-17
603.0,2198.0,245.0,441.0,2015-01-18
603.0,2202.0,245.0,441.0,2015-01-19
604.0,2201.0,245.0,441.0,2015-01-20
611.0,2207.0,245.0,443.0,2015-01-21
613.0,2212.0,245.0,443.0,2015-01-22
623.0,2224.0,255.0,445.0,2015-01-23
626.0,2229.0,257.0,447.0,2015-01-24
628.0,2231.0,258.0,448.0,2015-01-25
628.0,2233.0,258.0,448.0,2015-01-26
629.0,2240.0,262.0,448.0,2015-01-27
629.0,2245.0,263.0,448.0,2015-01-28
631.0,2248.0,263.0,449.0,2015-01-29
635.0,2252.0,263.0,449.0,2015-01-29
635.0,2252.0,265.0,451.0,2015-01-29
635.0,2252.0,265.0,451.0,2015-01-30
635.0,2256.0,265.0,451.0,2015-01-31
638.0,2254.0,266.0,453.0,2015-02-01
638.0,2258.0,266.0,453.0,2015-02-02
638.0,2262.0,266.0,453.0,2015-02-03
640.0,2263.0,267.0,454.0,2015-02-04
646.0,2270.0,273.0,455.0,2015-02-05
