"Week","Datasets Created","Datasets Deleted","Datasets Changed"
"2014-W01",1,0,45
"2014-W14",168,4,167
"2014-W15",5,23,90
"2014-W16",1,0,103
"2014-W17",0,0,85
"2014-W18",63,0,18
"2014-W19",2,0,37
"2014-W20",749,2,10100
"2014-W21",9,22,3758
"2014-W22",0,4,26
"2014-W23",176,0,121
"2014-W24",2,2,19
"2014-W25",3,2,3
"2014-W26",12,7,42
"2014-W27",1,1,14
"2014-W28",4,28,1105
"2014-W29",148,3,287
"2014-W30",0,0,152
"2014-W31",0,0,42
"2014-W32",2,0,16
"2014-W33",3,1,25
"2014-W34",0,0,5
"2014-W35",1,0,19
"2014-W36",6,0,244
"2014-W37",0,1,24
"2014-W38",4,2,37
"2014-W39",0,30,405
"2014-W40",8,1,54
"2014-W41",1,0,22
"2014-W42",3,10,40
"2014-W43",8,32,237
"2014-W44",5,0,81
"2014-W45",6,3,84
"2014-W46",5,1,84
"2014-W47",15,1,106
"2014-W48",9,3,135
"2014-W49",13,0,111
"2014-W50",5,1,124
"2014-W51",2,0,94
"2014-W52",1,1,66
"2015-W01",0,0,3
"2015-W02",2,0,67
"2015-W03",7,5,116
"2015-W04",7,2,280
"2015-W05",11,1,67
"2015-W06",1,0,45
"2015-W07",6,1,315
"2015-W08",9,4,62
