"Number of Datasets","Number of Organizations","Number of Registered Users","Week"
1017,9,31,"2014-W21"
1020,10,32,"2014-W22"
1017,15,46,"2014-W23"
1193,18,52,"2014-W24"
1190,18,49,"2014-W25"
1192,19,53,"2014-W26"
1197,21,57,"2014-W27"
1201,21,58,"2014-W28"
1174,16,64,"2014-W29"
1326,29,170,"2014-W30"
1326,30,197,"2014-W31"
1326,32,219,"2014-W32"
1328,35,235,"2014-W33"
1331,39,250,"2014-W34"
1331,40,261,"2014-W35"
1331,41,268,"2014-W36"
1337,42,277,"2014-W37"
1340,46,288,"2014-W38"
1344,48,302,"2014-W39"
1318,53,315,"2014-W40"
1324,57,338,"2014-W41"
1326,58,361,"2014-W42"
1320,61,383,"2014-W43"
1332,65,404,"2014-W44"
1341,65,434,"2014-W45"
1345,71,475,"2014-W46"
1351,74,517,"2014-W47"
1320,77,554,"2014-W48"
1326,79,592,"2014-W49"
1350,81,629,"2014-W50"
1357,89,688,"2014-W51"
1358,90,723,"2014-W52"
1357,92,736,"2014-W01"
1358,92,749,"2015-W01"
1358,92,753,"2015-W02"
1369,96,770,"2015-W03"
1375,99,787,"2015-W04"
1409,102,818,"2015-W05"
1420,102,843,"2015-W06"
1423,103,859,"2015-W07"
1428,108,907,"2015-W08"
